description,unit,rate,Unnamed: 3
"['Surface Preparation, Supply & Apply of 1 Coat PVA Primer, 2 Coat of Readymade Cement based Putty and finishing with 2 or more coat of easy clean Matt acrylic Royal Premium emulsion paint(RAL code/Equivalent) or as per approved Code & as per Engineers Instruction and Specification followed by sample Approval on Walls including all necessary centering, scaffolding, cleaning of paint stains when and where required including curing etc.. with all lead and lifts at all levels (Asian Paints) Note; Actual Final Color as per Sample Approval']",Sqm,325.0,
"['Surface Preparation, Supply & Apply of 1 Coat PVA Primer, 2 Coat Stucco Putty and finishing with 2 or more coat of easy clean Matt emulsion paint (RAL code) upto 3m and RAL code above 3m upto Slab) or as per approved Code & as per Engineers Instruction and Specification followed by sample Approval on Walls (Asian Paints)']",Sqm,340.0,
"['Surface Preparation, Supply & Apply of 1 Coat PVA Primer, 2 Coat Stucco Putty and finishing with 2 or more coat of easy clean Matt Enamael paint (RAL code) upto 3m and RAL code above 3m upto Slab) or as per approved Code & as per Engineers Instruction and Specification followed by sample Approval on Walls (Asian Paints)']",Sqm,340.0,
"['Surface Preparation, Supply & Apply of Ceiling spray paint 1 Coat enamel Primer, 2 Coat enemel paint (RAL code) or as per approved Code & as per Engineers Instruction and Specification followed by sample Approval on Roof including centering, scaffolding, cleaning, curing, all leads and lifts at all levales and removing stains when and where required to get final finish as per satisfaction .( Including MEP services like Pipe, ducts, hvac units etc)']",Sqm,320.0,
"['Surface Preparation, Supply & Apply of Bulkhead wall / Ceiling spray paint applying 3 coats birla wall care putty, rubbing , 1 Coat enamel Primer, 2 Coat enemel paint (RAL code) or as per approved Code & as per Engineers Instruction and Specification followed by sample Approval on Roof including centering, scaffolding, cleaning, curing, all leads and lifts at all levales and removing stains when and where required to get final finish as per satisfaction .( Including MEP services like Pipe, ducts, hvac units etc) 1) Cleaning and rubbing the surface to make it smooth and level surface, 2) Applying 3 coats birla wall care putty, rubbing, 1 coat Oil based primer, 2 or more coats Coat enamel paint of approved shade Spray /roller finish.']",Sqm,330.0,
"['Surface Preparation, Supply & Apply of 3 coat birla wall care putty , 1 coat oil based primer for columns, walls, ceiling, bulkhead with Approved color shade (RAL) or as per Engineers Instruction. The existing concrete surface to be finished smooth before the application of paint. Rate to include the complete process as stated. 1) Cleaning and rubbing the surface to make it smooth and level surface, 2) Applying 3 coats birla wall care putty, rubbing, 1 coat Oil based primer of approved shade in roller finish.']",Sqm,235.0,
"['Surface Preparation, Supply & Apply of oil base enamel paint for AC Ducts and pipes with RAL code/ Color as approved by concerned engineer. Rate to include the complete process as stated. 1) Rubbing and cleaning the Ducts and other services 2) Filling of joints with silicon sealant and applying 1 coat metal primer (Etching Primer), and 2 or more coats of enamel paint of approved shade sprayed to get even finish on the duct surfaces . (Make: Etching Primer-Asian, Enamel Paint Asian) ']",Sqm,290.0,
"['Surface Preparation, Supply & Apply of paint to Ceiling/ false ceiling and gypsum/MDF cladded partitions/Bulkheads giving an even shade including preparation of surface, applying 1 coat of primer,2 coats of putty, rubbing and 2 or more coats of final paint with roller finish. (Premium emulsion)']",Sqm,345.0,
"['Surface Preparation, Supply & Apply of premium emulsion paint for columns with Approved color shade (RAL code) or as per Engineers Instruction. The existing concrete surface to be finished smooth before the application of paint. Rate to include the complete process as stated. 1) Cleaning and rubbing the surface to make it smooth and level surface, 2) 1 coat oil based primer, 2 coats premium emulsion paint of approved shade (ICI Dulux) in roller finish']",Sqm,345.0,
"['Application of fire-rated sealant over all voids and service penetrations using fire-resistant gypsum boards securely fixed at designated openings. Larger cavities to be initially packed with suitable fire-rated foam and then sealed with approved fireproof compound. The entire system to be installed as per certified methods, in accordance with regulatory standards and instructions from the project engineer, and shall include a five-year performance warranty.']",Rmt,780.0,
"['Installation of formwork or boarding using 6mm thick plywood sheets over a supporting framework, as per the site engineerÕs guidance. Note: Plywood to be provided by the client.']",sqm,175.0,
['Packing and sealing of core openings having 150mm diameter.'],Nos,2058.0,
